"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Braydon Coburn","20-21","NYI/OTT","D",19,304.85,0,1,1,2,18,27,38,0.86,0,0,3.19,20,14,4,27,20,7,1,0,0,-6,0,0,0
"Brendan Gallagher","19-20","MTL","R",59,997.72,22,12,9,43,226,308,394,25.44,9.73,7.14,8.26,29,18,39,53,69,12,11,1,1,-1,12,17,-5
"Brendan Gallagher","20-21","MTL","R",35,525.33,14,3,6,23,106,143,177,12.25,13.21,9.79,8.57,12,9,7,46,33,8,12,0,0,4,23,19,4
"Brendan Gallagher","21-22","MTL","R",56,840.88,7,12,5,24,142,194,250,19.38,4.93,3.61,9.99,29,20,17,54,70,23,27,1,1,4,13,22,-9
"Brendan Gaunce","21-22","CBJ","C",30,242.88,5,1,1,7,44,62,71,4.22,11.36,8.06,6.81,9,3,8,42,13,6,2,0,0,-4,66,60,6
"Brendan Guhle","19-20","ANA","D",30,512,4,1,3,8,39,59,90,1.29,10.26,6.78,2.19,43,25,6,21,50,5,3,0,0,-2,0,0,0
"Brendan Guhle","21-22","ANA","D",6,88,0,0,0,0,6,13,18,0.41,0,0,3.15,4,5,0,11,10,0,0,0,0,0,0,0,0
"Brendan Leipsic","19-20","WSH","L",61,558.78,3,4,4,11,49,73,99,5.47,6.12,4.11,7.49,20,24,8,57,44,4,7,1,1,3,9,12,-3
"Brendan Lemieux","19-20","NYR","L",59,759.35,6,8,4,18,86,129,169,9.97,6.98,4.65,7.73,52,30,15,164,83,18,29,5,5,11,18,31,-13
"Brendan Lemieux","20-21","L.A/NYR","L",49,496.49,4,5,2,11,50,67,94,4.44,8,5.97,6.63,26,13,8,109,41,14,19,5,5,5,6,20,-14
"Brendan Lemieux","21-22","L.A","L",50,537.4,8,3,2,13,65,102,132,7.09,12.31,7.84,6.95,17,17,11,122,61,16,14,9,8,-3,11,13,-2
"Brendan Perlini","19-20","CHI/DET","L",40,427.84,1,2,1,4,48,72,99,5.2,2.08,1.39,7.22,10,8,7,22,30,6,4,0,0,-2,0,0,0
"Brendan Perlini","21-22","EDM","L",23,192.57,4,1,0,5,24,34,44,2,16.67,11.76,5.88,3,2,3,29,12,3,0,0,0,-3,0,1,-1
