"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Alex Pietrangelo","20-21","VGK","D",41,777.93,59.03,53.53,52.84,53.04,51.25,3.46,2.4,33.79,29.34,46.39,41.4,64.38,57.01,2.83,2.69,1.06,4.45,4.99,7.37,0.14,10.24,91.82
"Alex Pietrangelo","21-22","VGK","D",80,1534.18,49.91,53.68,53.85,53.63,50.65,2.58,2.59,34.5,29.77,46.81,40.11,63.32,54.74,2.94,2.86,-0.01,4.73,6.7,8.58,0.08,7.48,91.29
"Alex Radulov","19-20","DAL","R",60,821.98,59.83,52.58,51.9,51.41,54.65,2.18,1.46,31.71,28.59,43.29,40.12,58.14,54.95,2.74,2.27,0.72,3.11,3.17,3.18,0.47,6.88,94.88
"Alex Radulov","20-21","DAL","R",11,151.43,89.16,65.11,63.59,60.41,62.15,3.23,0.39,30.56,16.37,46.34,26.53,61.59,40.37,2.91,1.77,2.83,14.18,19.81,21.23,1.14,10.55,97.6
"Alex Radulov","21-22","DAL","R",71,828.58,43.24,49.57,48.93,48.81,52.48,1.84,2.41,29.46,29.97,41.07,42.86,55.04,57.72,2.69,2.44,-0.57,-0.51,-1.79,-2.69,0.25,6.24,91.95
"Alex Romanov","20-21","MTL","D",54,835.3,48.94,52.76,52.58,53.93,53.01,2.37,2.48,29.25,26.18,41.27,37.22,58.96,50.37,2.43,2.15,-0.1,3.07,4.05,8.59,0.28,8.12,90.54
"Alex Romanov","21-22","MTL","D",79,1384.98,44.45,44.94,44.89,45.54,46.08,2.42,3.02,27.81,34.07,37.83,46.45,51.39,61.44,2.33,2.72,-0.6,-6.26,-8.62,-10.06,-0.4,8.7,91.13
"Alex Steen","19-20","STL","L",55,607.07,57.7,53.05,50.55,50.85,52.6,2.78,2.04,28.53,25.25,37.7,36.88,51.35,49.64,2.28,2.05,0.74,3.29,0.82,1.71,0.23,9.76,91.92
"Alex Texier","19-20","CBJ","C",36,431.65,56.52,52.69,51.55,50.32,53.03,2.48,1.91,32.6,29.27,42.32,39.78,54.97,54.27,2.19,1.94,0.57,3.33,2.54,0.69,0.25,7.61,93.48
"Alex Texier","20-21","CBJ","C",49,659.3,39.88,45.14,45.98,46.01,42.08,1.91,2.87,27.54,33.47,37.85,44.47,50.34,59.06,2,2.76,-0.97,-5.93,-6.62,-8.72,-0.75,6.92,91.41
"Alex Texier","21-22","CBJ","C",36,451.05,42.52,43.16,44.29,45.2,42.86,2.64,3.57,27.27,35.93,37.52,47.19,49.88,60.48,2.22,2.96,-0.93,-8.65,-9.67,-10.6,-0.74,9.68,90.07
"Alex True","19-20","S.J","C",12,115.52,55.56,52.25,54.24,53.81,56.99,3.22,2.58,34.14,31.2,49,41.34,62.06,53.28,3.01,2.27,0.64,2.93,7.66,8.78,0.74,9.43,91.74
"Alex True","20-21","S.J","C",7,65.17,66.67,48.29,44.11,41.16,49.78,1.82,0.91,29.3,31.38,33.56,42.53,44.5,63.61,2.13,2.15,0.91,-2.08,-8.97,-19.11,-0.02,6.22,97.1
"Alex True","21-22","SEA","C",8,65.83,25.24,42.51,34.82,40.48,39.63,0.97,2.86,16.78,22.69,20.21,37.82,31.66,46.56,1.17,1.78,-1.9,-5.92,-17.62,-14.89,-0.61,5.76,87.39
"Alex Tuch","19-20","VGK","R",42,521.32,38.31,51.37,51.68,52.23,48.46,1.82,2.93,28.42,26.9,40.01,37.41,54.59,49.94,2.1,2.23,-1.11,1.52,2.61,4.65,-0.13,6.41,89.1
"Alex Tuch","20-21","VGK","R",55,756.53,61.57,55.16,56.54,55.63,57.66,3.05,1.91,31.67,25.74,45.01,34.6,61.27,48.86,3.04,2.23,1.15,5.93,10.41,12.41,0.81,9.64,92.6
"Alex Tuch","21-22","BUF","R",50,679.42,51.36,53.4,51.63,51.43,51.62,3.71,3.52,35.05,30.59,45.12,42.28,57.07,53.9,2.93,2.75,0.2,4.46,2.84,3.18,0.18,10.59,88.51
"Alex Turcotte","21-22","L.A","C",8,86.97,48.13,56.45,55.44,53.83,51.32,1.33,1.43,27.24,21.01,40.15,32.27,52.4,44.94,2.15,2.04,-0.1,6.23,7.88,7.46,0.11,4.89,93.17
